id,date_mastodon,cve_ids
114353854287418309,2025-04-17T14:49:00.000Z,CVE-2025-29652
114353854244979214,2025-04-17T14:48:59.000Z,CVE-2025-29651
114353740882707540,2025-04-17T14:20:09.000Z,CVE-2025-32433
114353052734380018,2025-04-17T11:25:10.325Z,CVE-2025-43715
114352909102293886,2025-04-17T10:48:37.000Z,CVE-2025-2188
114352909017356037,2025-04-17T10:48:36.000Z,CVE-2025-1532
114352522267008392,2025-04-17T09:10:16.040Z,CVE-2025-0101
114352512183153480,2025-04-17T09:07:42.172Z,CVE-2024-10525
114352512183153480,2025-04-17T09:07:42.172Z,CVE-2024-8376
114352512183153480,2025-04-17T09:07:42.172Z,CVE-2024-3935
114351493513546202,2025-04-17T04:48:37.000Z,CVE-2025-43715
114350548572681187,2025-04-17T00:48:19.000Z,CVE-2025-0756
114350548547030166,2025-04-17T00:48:18.000Z,CVE-2025-32433
114350548512185315,2025-04-17T00:48:18.000Z,CVE-2025-31478
114349606254810149,2025-04-16T20:48:40.000Z,CVE-2025-32872
114349606196167323,2025-04-16T20:48:39.000Z,CVE-2025-32871
114349606139746894,2025-04-16T20:48:39.000Z,CVE-2025-32870
114349606104779805,2025-04-16T20:48:38.000Z,CVE-2025-32869
114349606053007836,2025-04-16T20:48:37.000Z,CVE-2025-32868
114349606004365006,2025-04-16T20:48:36.000Z,CVE-2025-32867
114349605976919510,2025-04-16T20:48:36.000Z,CVE-2025-32866
114349605971133540,2025-04-16T20:48:36.000Z,CVE-2025-32865
114349605942669328,2025-04-16T20:48:35.000Z,CVE-2025-32864
114349605876000537,2025-04-16T20:48:34.000Z,CVE-2025-32863
114349605814979996,2025-04-16T20:48:34.000Z,CVE-2025-32862
114349605788370622,2025-04-16T20:48:33.000Z,CVE-2025-32861
114349605760466023,2025-04-16T20:48:33.000Z,CVE-2025-32860
114349605743075630,2025-04-16T20:48:32.000Z,CVE-2025-32859
114349605721181519,2025-04-16T20:48:32.000Z,CVE-2025-32858
114349605720027602,2025-04-16T20:48:31.000Z,CVE-2025-32857
114349605701916421,2025-04-16T20:48:31.000Z,CVE-2025-32856
114349605700783514,2025-04-16T20:48:28.000Z,CVE-2025-32850
114349605699865496,2025-04-16T20:48:30.000Z,CVE-2025-32855
114349605696648038,2025-04-16T20:48:28.000Z,CVE-2025-32851
114349605688730604,2025-04-16T20:48:30.000Z,CVE-2025-32854
114349605683211306,2025-04-16T20:48:29.000Z,CVE-2025-32852
114349605653750695,2025-04-16T20:48:26.000Z,CVE-2025-32848
114349605624903901,2025-04-16T20:48:29.000Z,CVE-2025-32853
114349605618241454,2025-04-16T20:48:27.000Z,CVE-2025-32849
114349133464699017,2025-04-16T18:48:26.000Z,CVE-2025-20236
114348661455733406,2025-04-16T16:48:20.000Z,CVE-2025-28399
114348661232777803,2025-04-16T16:48:19.000Z,CVE-2025-22900
114348661217060275,2025-04-16T16:48:20.000Z,CVE-2025-3693
114348194697968689,2025-04-16T14:49:41.000Z,CVE-2025-39601
114348194688394524,2025-04-16T14:49:41.000Z,CVE-2025-39570
114348194606484986,2025-04-16T14:49:40.000Z,CVE-2025-39557
