CVE_ID,state,assigner,date_published,date_updated,cvss_score,cvss_version,cwes,exploitDB_type,exploitDB_platform,KEV_product,KEV_knownRansomwareCampaignUse,Vendor,id,date_mastodon
CVE-2017-1000367,PUBLISHED,mitre,2017-06-05T00:00:00,2024-08-05T22:00:39.956Z,,,,local,linux,,,,100163593677876668,2018-06-07T12:39:07.000Z
CVE-2017-1000367,PUBLISHED,mitre,2017-06-05T00:00:00,2024-08-05T22:00:39.956Z,,,,local,linux,,,,100163593677876668,2018-06-07T12:39:07.000Z
CVE-2017-1182,PUBLISHED,ibm,2017-07-14T13:00:00Z,2024-09-16T19:04:42.739Z,,,,,,,,,112283638241926608,2024-04-17T00:05:51.000Z
CVE-2017-1182,PUBLISHED,ibm,2017-07-14T13:00:00Z,2024-09-16T19:04:42.739Z,,,,,,,,,112283638241926608,2024-04-17T00:05:51.000Z
CVE-2017-11882,PUBLISHED,microsoft,2017-11-15T03:00:00.000Z,2025-02-10T19:34:38.533Z,,,CWE-119,remote,windows,Office,Known,Microsoft,112609316654758384,2024-06-13T12:30:09.309Z
CVE-2017-11882,PUBLISHED,microsoft,2017-11-15T03:00:00.000Z,2025-02-10T19:34:38.533Z,,,CWE-119,remote,windows,Office,Known,Microsoft,112530044857725811,2024-05-30T12:30:17.678Z
CVE-2017-11882,PUBLISHED,microsoft,2017-11-15T03:00:00.000Z,2025-02-10T19:34:38.533Z,,,CWE-119,remote,windows,Office,Known,Microsoft,112609316654758384,2024-06-13T12:30:09.309Z
CVE-2017-11882,PUBLISHED,microsoft,2017-11-15T03:00:00.000Z,2025-02-10T19:34:38.533Z,,,CWE-119,remote,windows,Office,Known,Microsoft,112530044857725811,2024-05-30T12:30:17.678Z
CVE-2017-12637,PUBLISHED,mitre,2017-08-07T20:00:00.000Z,2025-03-27T02:55:31.305Z,,,CWE-22,,,NetWeaver,Unknown,SAP,114194137768242188,2025-03-20T09:51:00.380Z
CVE-2017-12637,PUBLISHED,mitre,2017-08-07T20:00:00.000Z,2025-03-27T02:55:31.305Z,,,CWE-22,,,NetWeaver,Unknown,SAP,114194137768242188,2025-03-20T09:51:00.380Z
