Disclosure Date,CVE_ID
2023-02-16,CVE-2022-39952
2023-02-16,cve-2022-39952
2022-10-10,cve-2022-40684
2021-07-08,CVE-2021-33544
2021-07-08,CVE-2021-33548
2021-07-08,CVE-2021-33550
2021-07-08,CVE-2021-33551
2021-07-08,CVE-2021-33552
2021-07-08,CVE-2021-33553
2021-07-08,CVE-2021-33554
2023-12-10,CVE-2023-50445
2023-12-10,CVE-2023-50919
2023-12-10,cve-2023-50445
2023-12-10,cve-2023-50919
2022-01-26,CVE-2022-35914
2017-12-18,CVE-2017-17562
2020-03-23,CVE-2019-10662
2020-03-23,CVE-2020-5722
2021-09-18,CVE-2021-36260
2020-04-21,cve-2020-4427
2020-04-21,cve-2020-4428
2020-04-21,cve-2020-4429
2020-04-21,cve-2020-4430
2024-12-13,cve-2024-55555
2024-12-13,cve-2024-55556
2014-09-29,CVE-2014-6271
2024-01-10,CVE-2023-46805
2024-01-10,CVE-2024-21887
2024-01-10,cve-2023-46805
2024-01-10,cve-2024-21887
2024-01-31,CVE-2023-36661
2024-01-31,CVE-2023-46805
2024-01-31,CVE-2024-21887
2024-01-31,CVE-2024-21888
2024-01-31,CVE-2024-21893
2024-01-31,cve-2023-46805
2024-01-31,cve-2024-21893
2024-10-08,CVE-2024-37404
2024-10-08,cve-2024-37404
2021-12-02,cve-2021-44529
2023-08-21,CVE-2023-38035
2023-08-21,cve-2023-38035
2023-09-27,CVE-2023-52251
2023-09-27,cve-2023-52251
2019-10-30,CVE-2019-7609
2019-10-30,cve-2019-7609
2023-03-13,CVE-2023-26067
2023-03-13,CVE-2023-26068
2018-12-16,cve-2018-20434
2024-11-15,CVE-2024-51092
2019-10-29,cve-2019-7256
2021-01-15,cve-2021-21307
2024-07-26,CVE-2024-2961
2024-07-26,CVE-2024-34102
2024-07-26,cve-2024-2961
2023-06-26,cve-2023-30258
2023-12-15,CVE-2023-50917
2023-12-15,cve-2023-50917
2021-12-12,CVE-2021-44228
2021-12-12,cve-2021-44228
2020-09-12,CVE-2020-15505
2024-08-27,CVE-2024-43425
2021-07-15,CVE-2021-37343
2021-02-13,CVE-2021-25296
2021-02-13,CVE-2021-25297
2021-02-13,CVE-2021-25298
2020-10-20,CVE-2020-5791
2020-12-19,CVE-2020-35578
2025-01-30,CVE-2024-46506
2025-01-30,cve-2024-46506
2016-12-06,CVE-2016-582384
2016-02-25,CVE-2016-1555
2024-01-11,cve-2024-22729
2024-12-27,CVE-2024-48455
2024-12-27,CVE-2024-48456
2024-12-27,CVE-2024-48457
2024-12-27,cve-2024-48455
2024-12-27,cve-2024-48456
2024-12-27,cve-2024-48457
2020-03-31,CVE-2020-10199
2024-03-15,CVE-2024-28254
2024-03-15,CVE-2024-28255
2024-03-15,cve-2024-28255
2023-07-01,CVE-2023-0872
2023-07-01,CVE-2023-40315
2023-07-01,CVE-2023-25826
2023-07-01,CVE-2023-36812
2020-11-18,CVE-2020-35476
2019-11-05,cve-2019-7276
2022-10-01,CVE-2022-21587
2022-10-01,cve-2022-21587
2024-10-09,CVE-2024-5910
2024-10-09,CVE-2024-9464
2024-10-09,cve-2024-5910
2024-10-09,cve-2024-9464
2024-11-21,CVE-2024-11320
2024-11-21,cve-2024-11320
2025-03-17,CVE-2024-12971
2025-03-17,cve-2024-12971
2020-06-04,CVE-2020-13851
2024-11-18,CVE-2024-0012
2024-11-18,CVE-2024-9474
2024-11-18,cve-2024-0012
2024-11-18,cve-2024-9474
2020-09-09,CVE-2020-2038
2024-04-12,CVE-2024-3400
2024-04-12,cve-2024-3400
2024-04-23,CVE-2024-2389
2024-04-23,cve-2024-2389
2024-03-19,cve-2024-1212
2020-10-26,cve-2020-8260
2024-10-28,CVE-2024-28397
2024-10-28,CVE-2024-39205
2023-01-13,CVE-2023-0297
2024-02-13,cve-2023-47218
2024-03-16,CVE-2024-24578
2024-03-16,cve-2024-24578
2020-03-11,CVE-2019-19509
2020-03-11,CVE-2019-19585
2020-03-11,CVE-2020-10220
2022-07-06,cve-2022-3113
2020-11-03,CVE-2020-16846
2021-02-25,CVE-2021-25281
2021-02-25,cve-2021-25281
2017-03-14,CVE-2015-8279
2017-03-14,CVE-2017-16524
2021-12-14,cve-2021-20038
2021-12-14,cve-2021-20039
2020-09-18,cve-2020-25223
2022-02-18,CVE-2022-23642
2022-01-26,CVE-2022-22947
2022-01-26,cve-2022-22947
2021-04-28,CVE-2020-28320
2017-07-19,CVE-2017-11610
2022-08-31,CVE-2022-40022
2020-12-12,cve-2020-35665
2021-12-24,CVE-2021-45837
2021-12-24,CVE-2021-45839
2021-12-24,CVE-2021-45841
2021-12-24,CVE-2021-458439
2021-12-24,cve-2021-45837
2022-03-07,CVE-2022-24989
2022-03-07,CVE-2022-24990
2022-03-07,cve-2022-24990
2023-05-05,cve-2023-30013
2020-04-29,CVE-2020-12109
2020-04-29,CVE-2020-12110
2024-08-23,CVE-2024-24809
2024-08-23,CVE-2024-31214
2017-08-08,CVE-2017-12478
2020-02-10,cve-2020-5847
2020-02-10,cve-2020-5849
2022-10-25,cve-2021-39144
2021-09-21,cve-2021-22005
2021-05-25,CVE-2021-21985
2021-05-25,cve-2021-2021
2021-05-25,cve-2021-21985
2023-06-07,CVE-2023-20887
2023-06-07,cve-2023-20887
2021-03-30,CVE-2021-21975
2021-03-30,CVE-2021-21983
2021-03-30,cve-2021-21975
2022-04-06,CVE-2022-22954
2022-04-06,cve-2022-22954
2022-04-06,CVE-2022-22956
2022-04-06,CVE-2022-22957
2022-04-06,CVE-2022-22960
2022-04-06,cve-2022-22960
2022-08-29,CVE-2022-26318
2022-08-29,cve-2022-26318
2016-12-14,CVE-2016-10108
2016-12-14,CVE-2018-17153
2022-02-26,CVE-2022-0824
2022-07-26,cve-2022-36446
2017-10-29,CVE-2017-16666
2017-10-29,cve-2017-16666
2022-06-28,CVE-2015-1197
2022-06-28,CVE-2022-41352
2022-06-28,cve-2015-1197
2022-06-28,cve-2022-41352
2022-05-10,CVE-2022-27925
2022-06-28,CVE-2022-30333
2022-06-28,cve-2022-30333
2022-02-01,cve-2023-28770
2024-01-24,cve-2023-33012
2022-04-28,CVE-2022-30525
2022-04-28,cve-2022-30525
2015-04-14,CVE-2015-3315
2015-04-14,cve-2015-1862
2015-04-14,cve-2015-3315
2015-11-23,CVE-2015-5287
2015-11-23,cve-2015-5287
2016-08-12,CVE-2016-8655
2017-03-29,CVE-2017-7308
2017-03-29,cve-2017-7308
2015-03-31,cve-2015-1318
2016-05-04,CVE-2016-4557
2017-11-12,CVE-2017-16995
