Affected Vendor(s),CVE_ID,CVSS v3.0
Adobe,CVE-2011-2435,7.5
Adobe,CVE-2011-2436,7.5
Adobe,CVE-2011-2437,7.5
Adobe,CVE-2011-2438,7.5
Apple,CVE-2011-3222,7.5
Symantec,CVE-2011-0554,9.0
Avaya,,10.0
"Cisco, EMC",CVE-2011-2738,10.0
"EMC, Cisco",CVE-2011-2738,9.0
Microsoft,CVE-2011-2001,7.5
Microsoft,CVE-2011-2000,7.5
Microsoft,CVE-2011-1999,7.5
Microsoft,CVE-2011-1996,7.5
Novell,,10.0
Novell,CVE-2010-4325,10.0
Adobe,CVE-2011-2441,7.5
Adobe,CVE-2011-2438,7.5
Adobe,CVE-2011-2438,9.0
Microsoft,CVE-2011-1990,7.5
Microsoft,CVE-2011-1989,7.5
"Nortel, Witness Systems",,10.0
Novell,CVE-2011-2654,9.3
Apple,CVE-2011-0258,7.5
Adobe,CVE-2011-2140,7.5
EMC,CVE-2011-2735,10.0
EMC,CVE-2011-2735,10.0
EMC,CVE-2011-2735,10.0
Flexera Software,,10.0
Mozilla,CVE-2011-2378,7.5
Mozilla,CVE-2011-0084,7.5
RealNetworks,CVE-2011-2947,9.0
RealNetworks,CVE-2011-2948,9.0
RealNetworks,CVE-2011-2949,9.0
RealNetworks,CVE-2011-2951,7.5
RealNetworks,CVE-2011-2950,9.0
Symantec,CVE-2011-0547,10.0
Symantec,CVE-2011-0547,10.0
Symantec,CVE-2011-0547,10.0
Hewlett-Packard,CVE-2011-2404,7.5
Nortel,,10.0
Apple,CVE-2011-0251,9.0
Apple,CVE-2011-0249,9.0
Apple,CVE-2011-0247,9.0
Apple,CVE-2011-0248,9.0
Apple,CVE-2011-0247,9.0
Apple,CVE-2011-0256,7.5
Adobe,CVE-2011-2138,7.5
Apple,CVE-2011-0257,7.5
Apple,CVE-2011-0250,9.0
Apple,CVE-2011-0252,9.0
Microsoft,CVE-2011-1347,6.4
Microsoft,CVE-2011-1964,9.0
Microsoft,CVE-2011-1963,7.5
Sybase,,10.0
Sybase,,10.0
Flexera Software,,9.0
Apple,CVE-2011-0232,9.0
Apple,CVE-2011-0255,7.5
Apple,CVE-2011-0254,7.5
Apple,CVE-2011-1453,7.5
